Generating random hostid in /etc/hostid: 7443f6c5
Startup command: exec "Orthanc /tmp/orthanc.json"
W1022 15:21:00.602858             MAIN main.cpp:2128] Orthanc version: 1.12.9
W1022 15:21:00.603055             MAIN OrthancConfiguration.cpp:59] Reading the configuration from: "/tmp/orthanc.json"
W1022 15:21:00.635942             MAIN main.cpp:952] Loading plugin(s) from: /run/orthanc/plugins
W1022 15:21:00.636041             MAIN PluginsManager.cpp:259] Inexistent path to plugins: /run/orthanc/plugins
W1022 15:21:00.636052             MAIN main.cpp:952] Loading plugin(s) from: /usr/share/orthanc/plugins
W1022 15:21:00.642141             MAIN PluginsManager.cpp:287] Registering plugin 'dicom-web' (version 1.21)
W1022 15:21:00.643989             MAIN dicom-web:/Plugin.cpp:635] URI to the DICOMweb REST API: /dicom-web/
W1022 15:21:00.645933             MAIN dicom-web:/Plugin.cpp:748] DICOMweb public root: /dicom-web/
W1022 15:21:00.645971             MAIN dicom-web:/Plugin.cpp:750] The DICOMWeb plugin will use 1 threads to load DICOM files for WADO-RS queries
W1022 15:21:00.645979             MAIN dicom-web:/Plugin.cpp:761] URI to the WADO-URI API: /wado
W1022 15:21:00.679591             MAIN PluginsManager.cpp:287] Registering plugin 'gdcm' (version 1.8)
W1022 15:21:00.680498             MAIN PluginsManager.cpp:158] Gdcm.RestrictTransferSyntaxes configuration is set and not empty, Orthanc will use GDCM to transcode SOME transfer syntaxes:
W1022 15:21:00.680588             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.90
W1022 15:21:00.680647             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.91
W1022 15:21:00.680717             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.92
W1022 15:21:00.680765             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.93
W1022 15:21:00.680823             MAIN PluginsManager.cpp:158] Throttling GDCM to 4 concurrent thread(s)
W1022 15:21:00.681706             MAIN PluginsManager.cpp:158] Version of GDCM: 3.0.24
W1022 15:21:00.693114             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-index' (version 9.0)
W1022 15:21:00.695134             MAIN postgresql-index:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:00.696129             MAIN postgresql-index:/IndexBackend.cpp:3034] The index plugin will use 50 connection(s) to the database, and will retry up to 10 time(s) in the case of a collision
W1022 15:21:00.699449             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:00.700573             MAIN postgresql-storage:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:00.725851             MAIN postgresql-storage:/StorageBackend.cpp:698] The storage area plugin will retry up to 10 time(s) in the case of a collision
W1022 15:21:00.727304             MAIN PluginsManager.cpp:287] Registering plugin 'worklists' (version 1.12.9)
W1022 15:21:00.727333             MAIN worklists:/Plugin.cpp:229] Sample worklist plugin is initializing
W1022 15:21:00.727619             MAIN worklists:/Plugin.cpp:242] The database of worklists will be read from folder: /worklists
W1022 15:21:00.731743             MAIN PluginsManager.cpp:287] Registering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:00.733040             MAIN PluginsManager.cpp:158] Root URI to the Orthanc-Explorer 2 application: /ui/
W1022 15:21:00.733877             MAIN main.cpp:1791] Using a custom database from plugins
W1022 15:21:00.733906             MAIN main.cpp:1802] Using a custom storage area from plugins
W1022 15:21:00.754165             MAIN postgresql-index:/PostgreSQLIndex.cpp:142] The database schema already exists, checking if it needs to be updated
W1022 15:21:00.756049             MAIN postgresql-index:/PostgreSQLIndex.cpp:157] Current Database revision is 6
W1022 15:21:01.443654             MAIN main.cpp:1757] The DB latency is 182 µs
W1022 15:21:01.443725             MAIN HttpClient.cpp:1211] The verification of the peers in HTTPS requests is disabled
W1022 15:21:01.444333             MAIN LuaContext.cpp:95] Lua says: Lua toolbox installed
